animal_ID,treatment,tissue,batch,sample_ID
AC163,C,A,60,AC163A
AC164,C,A,60,AC164A
AC164,C,Pp,60,AC164Pp
AC167,C,Pp,60,AC167Pp
AC172,C,A,60,AC172A
AC172,C,Pp,60,AC172Pp
AC166,C,Pp,71,AC166Pp
AC169,C,A,71,AC169A
AC170,C,A,71,AC170A
AC170,C,Pp,71,AC170Pp
AC174,C,A,71,AC174A
AC174,C,Pp,71,AC174Pp
AC187,Hyp_T2h,A,60,AC187A
AC187,Hyp_T2h,Pp,60,AC187Pp
AC188,Hyp_T2h,A,60,AC188A
AC188,Hyp_T2h,Pp,60,AC188Pp
AC189,Hyp_T2h,A,60,AC189A
AC189,Hyp_T2h,Pp,60,AC189Pp
AC199,Hyp_T2h,A,71,AC199A
AC199,Hyp_T2h,Pp,71,AC199Pp
AC200,Hyp_T2h,A,71,AC200A
AC200,Hyp_T2h,Pp,71,AC200Pp
AC201,Hyp_T2h,A,71,AC201A
AC201,Hyp_T2h,Pp,71,AC201Pp
AC190,H_6h,A,60,AC190A
AC190,H_6h,Pp,60,AC190Pp
AC191,H_6h,A,60,AC191A
AC191,H_6h,Pp,60,AC191Pp
AC192,H_6h,A,60,AC192A
AC192,H_6h,Pp,60,AC192Pp
AC202,H_6h,A,71,AC202A
AC202,H_6h,Pp,71,AC202Pp
AC203,H_6h,A,71,AC203A
AC203,H_6h,Pp,71,AC203Pp
AC204,H_6h,A,71,AC204A
AC204,H_6h,Pp,71,AC204Pp
AC177,H_6d,A,60,AC177A
AC177,H_6d,Pp,60,AC177Pp
AC181,H_6d,A,60,AC181A
AC181,H_6d,Pp,60,AC181Pp
AC182,H_6d,A,60,AC182A
AC182,H_6d,Pp,60,AC182Pp
AC179,H_6d,A,71,AC179A
AC179,H_6d,Pp,71,AC179Pp
AC183,H_6d,A,71,AC183A
AC183,H_6d,Pp,71,AC183Pp
AC184,H_6d,A,71,AC184A
AC184,H_6d,Pp,71,AC184Pp
AC178,LtH_7,A,60,AC178A
AC178,LtH_7,Pp,60,AC178Pp
AC185,LtH_7,Pp,60,AC185Pp
AC186,LtH_7,A,60,AC186A
AC186,LtH_7,Pp,60,AC186Pp
AC175,LtH_7,A,71,AC175A
AC175,LtH_7,Pp,71,AC175Pp
AC176,LtH_7,A,71,AC176A
AC176,LtH_7,Pp,71,AC176Pp
AC180,LtH_7,A,71,AC180A
AC180,LtH_7,Pp,71,AC180Pp
AC193,Recovery,A,60,AC193A
AC193,Recovery,Pp,60,AC193Pp
AC194,Recovery,A,60,AC194A
AC194,Recovery,Pp,60,AC194Pp
AC195,Recovery,A,60,AC195A
AC195,Recovery,Pp,60,AC195Pp
AC205,Recovery,A,71,AC205A
AC205,Recovery,Pp,71,AC205Pp
AC206,Recovery,A,71,AC206A
AC206,Recovery,Pp,71,AC206Pp
AC207,Recovery,A,71,AC207A
AC207,Recovery,Pp,71,AC207Pp
AC196,Reox,A,60,AC196A
AC196,Reox,Pp,60,AC196Pp
AC197,Reox,A,60,AC197A
AC197,Reox,Pp,60,AC197Pp
AC198,Reox,A,60,AC198A
AC198,Reox,Pp,60,AC198Pp
AC208,Reox,A,71,AC208A
AC208,Reox,Pp,71,AC208Pp
AC209,Reox,A,71,AC209A
AC209,Reox,Pp,71,AC209Pp
AC210,Reox,A,71,AC210A
AC210,Reox,Pp,71,AC210Pp
AC267,H_6d,A,1,AC267A
AC271,H_6d,A,1,AC271A
AC275,H_6d,A,1,AC275A
AC279,H_6h,A,1,AC279A
AC283,H_6h,A,1,AC283A
AC287,H_6h,A,1,AC287A
AC290,H_6h,A,1,AC290A
AC293,Recovery,A,1,AC293A
AC299,Recovery,A,1,AC299A
AC301,Recovery,A,1,AC301A
AC305,C,A,1,AC305A
AC309,C,A,1,AC309A
AC313,C,A,1,AC313A
AC266,H_6d,A,ACE006,AC266A
AC270,H_6d,A,ACE006,AC270A
AC274,H_6d,A,ACE006,AC274A
AC278,H_6h,A,ACE006,AC278A
AC282,H_6h,A,ACE006,AC282A
AC286,H_6h,A,ACE006,AC286A
AC292,Recovery,A,ACE006,AC292A
AC296,Recovery,A,ACE006,AC296A
AC300,Recovery,A,ACE006,AC300A
AC304,C,A,ACE006,AC304A
AC308,C,A,ACE006,AC308A
AC312,C,A,ACE006,AC312A