contrast	gene	reg
Hyp_T6h.Control	Cluster_1002	Up
Hyp_T6h.Control	Cluster_1025	Up
Hyp_T6h.Control	Cluster_1027	Down
Hyp_T6h.Control	Cluster_1116	Down
Hyp_T6h.Control	Cluster_1166	Down
Hyp_T6h.Control	Cluster_1178	Up
Hyp_T6h.Control	Cluster_1179	Down
Hyp_T6h.Control	Cluster_1238	Up
Hyp_T6h.Control	Cluster_1243	Down
Hyp_T6h.Control	Cluster_1350	Up
Hyp_T6h.Control	Cluster_1361	Down
Hyp_T6h.Control	Cluster_1447	Down
Hyp_T6h.Control	Cluster_151	Down
Hyp_T6h.Control	Cluster_1528	Down
Hyp_T6h.Control	Cluster_1556	Down
Hyp_T6h.Control	Cluster_1594	Down
Hyp_T6h.Control	Cluster_1636	Down
Hyp_T6h.Control	Cluster_1645	Up
Hyp_T6h.Control	Cluster_1660	Up
Hyp_T6h.Control	Cluster_1673	Up
Hyp_T6h.Control	Cluster_171	Down
Hyp_T6h.Control	Cluster_1771	Down
Hyp_T6h.Control	Cluster_1804	Up
Hyp_T6h.Control	Cluster_1809	Down
Hyp_T6h.Control	Cluster_1816	Up
Hyp_T6h.Control	Cluster_1820	Down
Hyp_T6h.Control	Cluster_1836	Down
Hyp_T6h.Control	Cluster_1839	Up
Hyp_T6h.Control	Cluster_1846	Up
Hyp_T6h.Control	Cluster_188	Down
Hyp_T6h.Control	Cluster_2071	Down
Hyp_T6h.Control	Cluster_2112	Down
Hyp_T6h.Control	Cluster_2120	Down
Hyp_T6h.Control	Cluster_2149	Down
Hyp_T6h.Control	Cluster_2150	Down
Hyp_T6h.Control	Cluster_2163	Down
Hyp_T6h.Control	Cluster_2208	Up
Hyp_T6h.Control	Cluster_2259	Up
Hyp_T6h.Control	Cluster_2333	Down
Hyp_T6h.Control	Cluster_2374	Up
Hyp_T6h.Control	Cluster_2395	Up
Hyp_T6h.Control	Cluster_2406	Up
Hyp_T6h.Control	Cluster_246	Up
Hyp_T6h.Control	Cluster_2495	Up
Hyp_T6h.Control	Cluster_2504	Down
Hyp_T6h.Control	Cluster_2520	Up
Hyp_T6h.Control	Cluster_2538	Up
Hyp_T6h.Control	Cluster_2539	Down
Hyp_T6h.Control	Cluster_2561	Up
Hyp_T6h.Control	Cluster_257	Up
Hyp_T6h.Control	Cluster_26	Up
Hyp_T6h.Control	Cluster_2603	Down
Hyp_T6h.Control	Cluster_2605	Down
Hyp_T6h.Control	Cluster_2649	Down
Hyp_T6h.Control	Cluster_2656	Down
Hyp_T6h.Control	Cluster_2727	Down
Hyp_T6h.Control	Cluster_2807	Down
Hyp_T6h.Control	Cluster_2902	Down
Hyp_T6h.Control	Cluster_3015	Up
Hyp_T6h.Control	Cluster_3044	Down
Hyp_T6h.Control	Cluster_3098	Up
Hyp_T6h.Control	Cluster_3099	Down
Hyp_T6h.Control	Cluster_3134	Down
Hyp_T6h.Control	Cluster_3232	Down
Hyp_T6h.Control	Cluster_3247	Up
Hyp_T6h.Control	Cluster_3293	Up
Hyp_T6h.Control	Cluster_347	Up
Hyp_T6h.Control	Cluster_407	Up
Hyp_T6h.Control	Cluster_538	Up
Hyp_T6h.Control	Cluster_562	Down
Hyp_T6h.Control	Cluster_58	Down
Hyp_T6h.Control	Cluster_599	Up
Hyp_T6h.Control	Cluster_729	Down
Hyp_T6h.Control	Cluster_791	Down
Hyp_T6h.Control	Cluster_793	Up
Hyp_T6h.Control	Cluster_903	Down
Hyp_T6h.Control	Cluster_915	Down
Hyp_T6h.Control	Cluster_94	Up
Hyp_T6h.Control	Cluster_985	Up
Hyp_T6h.Control	mle-miR-87-5p;cbr-miR-87;ame-miR-87-3p;cte-miR-87b;lgi-miR-87;egr-miR-87-3p;emu-miR-87-3p29	Down
Hyp_T6h.Control	mle-miR-87-5p;cbr-miR-87;ame-miR-87-3p;cte-miR-87b;lgi-miR-87;egr-miR-87-3p;emu-miR-87-3p34	Up
Hyp_T6h.Control	mle-miR-87-5p;cbr-miR-87;ame-miR-87-3p;cte-miR-87b;lgi-miR-87;egr-miR-87-3p;emu-miR-87-3p38	Up
Hyp_T6h.Control	mle-miR-87-5p;cbr-miR-87;ame-miR-87-3p;cte-miR-87b;lgi-miR-87;egr-miR-87-3p;emu-miR-87-3p66	Down
LtH_6.Control	Cluster_1002	Up
LtH_6.Control	Cluster_1025	Up
LtH_6.Control	Cluster_1027	Down
LtH_6.Control	Cluster_1116	Down
LtH_6.Control	Cluster_1119	Up
LtH_6.Control	Cluster_1158	Up
LtH_6.Control	Cluster_1166	Down
LtH_6.Control	Cluster_1179	Down
LtH_6.Control	Cluster_1243	Down
LtH_6.Control	Cluster_1350	Up
LtH_6.Control	Cluster_1427	Up
LtH_6.Control	Cluster_151	Down
LtH_6.Control	Cluster_1528	Down
LtH_6.Control	Cluster_1556	Down
LtH_6.Control	Cluster_1636	Down
LtH_6.Control	Cluster_1645	Up
LtH_6.Control	Cluster_1660	Up
LtH_6.Control	Cluster_1673	Up
LtH_6.Control	Cluster_1771	Down
LtH_6.Control	Cluster_1804	Up
LtH_6.Control	Cluster_1809	Down
LtH_6.Control	Cluster_1816	Up
LtH_6.Control	Cluster_1820	Down
LtH_6.Control	Cluster_1836	Down
LtH_6.Control	Cluster_188	Down
LtH_6.Control	Cluster_1898	Down
LtH_6.Control	Cluster_2071	Down
LtH_6.Control	Cluster_2083	Up
LtH_6.Control	Cluster_2112	Down
LtH_6.Control	Cluster_2120	Down
LtH_6.Control	Cluster_2149	Down
LtH_6.Control	Cluster_2150	Down
LtH_6.Control	Cluster_2163	Down
LtH_6.Control	Cluster_2259	Up
LtH_6.Control	Cluster_2333	Down
LtH_6.Control	Cluster_2374	Up
LtH_6.Control	Cluster_2405	Down
LtH_6.Control	Cluster_2406	Up
LtH_6.Control	Cluster_246	Up
LtH_6.Control	Cluster_2504	Down
LtH_6.Control	Cluster_2520	Up
LtH_6.Control	Cluster_2538	Up
LtH_6.Control	Cluster_2539	Down
LtH_6.Control	Cluster_2561	Up
LtH_6.Control	Cluster_257	Up
LtH_6.Control	Cluster_26	Up
LtH_6.Control	Cluster_2603	Down
LtH_6.Control	Cluster_2605	Down
LtH_6.Control	Cluster_2656	Down
LtH_6.Control	Cluster_2727	Down
LtH_6.Control	Cluster_2807	Down
LtH_6.Control	Cluster_3015	Up
LtH_6.Control	Cluster_3044	Down
LtH_6.Control	Cluster_3070	Up
LtH_6.Control	Cluster_3071	Up
LtH_6.Control	Cluster_3083	Down
LtH_6.Control	Cluster_3098	Up
LtH_6.Control	Cluster_3099	Down
LtH_6.Control	Cluster_3134	Down
LtH_6.Control	Cluster_3232	Down
LtH_6.Control	Cluster_3239	Down
LtH_6.Control	Cluster_3241	Down
LtH_6.Control	Cluster_3247	Up
LtH_6.Control	Cluster_3293	Up
LtH_6.Control	Cluster_347	Up
LtH_6.Control	Cluster_538	Up
LtH_6.Control	Cluster_58	Down
LtH_6.Control	Cluster_599	Up
LtH_6.Control	Cluster_668	Down
LtH_6.Control	Cluster_729	Down
LtH_6.Control	Cluster_791	Down
LtH_6.Control	Cluster_793	Up
LtH_6.Control	Cluster_839	Down
LtH_6.Control	Cluster_903	Down
LtH_6.Control	Cluster_915	Down
LtH_6.Control	Cluster_94	Up
LtH_6.Control	Cluster_985	Up
LtH_6.Control	mle-miR-87-5p;cbr-miR-87;ame-miR-87-3p;cte-miR-87b;lgi-miR-87;egr-miR-87-3p;emu-miR-87-3p29	Down
LtH_6.Control	mle-miR-87-5p;cbr-miR-87;ame-miR-87-3p;cte-miR-87b;lgi-miR-87;egr-miR-87-3p;emu-miR-87-3p34	Up
LtH_6.Control	mle-miR-87-5p;cbr-miR-87;ame-miR-87-3p;cte-miR-87b;lgi-miR-87;egr-miR-87-3p;emu-miR-87-3p38	Up
LtH_6.Control	mle-miR-87-5p;cbr-miR-87;ame-miR-87-3p;cte-miR-87b;lgi-miR-87;egr-miR-87-3p;emu-miR-87-3p66	Down
LtH_6.Control	mle-miR-87-5p;cbr-miR-87;ame-miR-87-3p;cte-miR-87b;lgi-miR-87;egr-miR-87-3p;emu-miR-87-3p71	Down
LtH_6.Hyp_T6h	Cluster_1353	Up
LtH_6.Hyp_T6h	Cluster_2448	Down
Recovery.Control	Cluster_1002	Up
Recovery.Control	Cluster_1025	Up
Recovery.Control	Cluster_1027	Down
Recovery.Control	Cluster_1116	Down
Recovery.Control	Cluster_1158	Up
Recovery.Control	Cluster_1166	Down
Recovery.Control	Cluster_1178	Up
Recovery.Control	Cluster_1238	Up
Recovery.Control	Cluster_1350	Up
Recovery.Control	Cluster_1475	Up
Recovery.Control	Cluster_1476	Up
Recovery.Control	Cluster_151	Down
Recovery.Control	Cluster_1528	Down
Recovery.Control	Cluster_1532	Up
Recovery.Control	Cluster_1590	Up
Recovery.Control	Cluster_1594	Down
Recovery.Control	Cluster_1636	Down
Recovery.Control	Cluster_1645	Up
Recovery.Control	Cluster_1660	Up
Recovery.Control	Cluster_1673	Up
Recovery.Control	Cluster_171	Down
Recovery.Control	Cluster_1771	Down
Recovery.Control	Cluster_1809	Down
Recovery.Control	Cluster_1816	Up
Recovery.Control	Cluster_1820	Down
Recovery.Control	Cluster_1836	Down
Recovery.Control	Cluster_188	Down
Recovery.Control	Cluster_189	Down
Recovery.Control	Cluster_2071	Down
Recovery.Control	Cluster_2083	Up
Recovery.Control	Cluster_2112	Down
Recovery.Control	Cluster_2120	Down
Recovery.Control	Cluster_2149	Down
Recovery.Control	Cluster_2150	Down
Recovery.Control	Cluster_2163	Down
Recovery.Control	Cluster_2259	Up
Recovery.Control	Cluster_2333	Down
Recovery.Control	Cluster_2374	Up
Recovery.Control	Cluster_2395	Up
Recovery.Control	Cluster_2406	Up
Recovery.Control	Cluster_2495	Up
Recovery.Control	Cluster_2504	Down
Recovery.Control	Cluster_2520	Up
Recovery.Control	Cluster_2538	Up
Recovery.Control	Cluster_2539	Down
Recovery.Control	Cluster_257	Up
Recovery.Control	Cluster_26	Up
Recovery.Control	Cluster_2603	Down
Recovery.Control	Cluster_2605	Down
Recovery.Control	Cluster_2649	Down
Recovery.Control	Cluster_2656	Down
Recovery.Control	Cluster_2663	Down
Recovery.Control	Cluster_2727	Down
Recovery.Control	Cluster_2807	Down
Recovery.Control	Cluster_2977	Up
Recovery.Control	Cluster_3015	Up
Recovery.Control	Cluster_3044	Down
Recovery.Control	Cluster_3070	Up
Recovery.Control	Cluster_3071	Up
Recovery.Control	Cluster_3099	Down
Recovery.Control	Cluster_3134	Down
Recovery.Control	Cluster_314	Down
Recovery.Control	Cluster_3232	Down
Recovery.Control	Cluster_3241	Down
Recovery.Control	Cluster_3247	Up
Recovery.Control	Cluster_3293	Up
Recovery.Control	Cluster_347	Up
Recovery.Control	Cluster_407	Up
Recovery.Control	Cluster_538	Up
Recovery.Control	Cluster_562	Down
Recovery.Control	Cluster_58	Down
Recovery.Control	Cluster_599	Up
Recovery.Control	Cluster_668	Down
Recovery.Control	Cluster_729	Down
Recovery.Control	Cluster_769	Down
Recovery.Control	Cluster_791	Down
Recovery.Control	Cluster_793	Up
Recovery.Control	Cluster_839	Down
Recovery.Control	Cluster_903	Down
Recovery.Control	Cluster_915	Down
Recovery.Control	Cluster_94	Up
Recovery.Control	Cluster_985	Up
Recovery.Control	mle-miR-87-5p;cbr-miR-87;ame-miR-87-3p;cte-miR-87b;lgi-miR-87;egr-miR-87-3p;emu-miR-87-3p34	Up
Recovery.Control	mle-miR-87-5p;cbr-miR-87;ame-miR-87-3p;cte-miR-87b;lgi-miR-87;egr-miR-87-3p;emu-miR-87-3p38	Up
Recovery.Hyp_T6h	Cluster_1353	Up
