ID,treatment,batch,cage,sample,weight(g)
AC163,C,60,C1,Day1,45
AC164,C,60,C1,Day1,97.5
AC165,C,71,C2,Day1,51.5
AC166,C,71,C2,Day1,98.5
AC167,C,60,C3,Day1,50
AC168,C,60,C3,Day1,96.5
AC169,C,71,C4,Day1,53
AC170,C,71,C4,Day1,103.5
AC171,C,60,C5,Day1,48.5
AC172,C,60,C5,Day1,98
AC173,C,71,C6,Day1,47.5
AC174,C,71,C6,Day1,96.5
AC175,H,71,H1,Day1,49.5
AC176,H,71,H1,Day1,97
AC177,H,60,H2,Day1,49.5
AC178,H,60,H2,Day1,98.5
AC179,H,71,H3,Day1,50
AC180,H,71,H3,Day1,109
AC181,H,60,H4,Day1,51.5
AC182,H,60,H4,Day1,104.5
AC183,H,71,H5,Day1,50
AC184,H,71,H5,Day1,110
AC185,H,60,H6,Day1,51
AC186,H,60,H6,Day1,102.5
AC163,C,60,C1,Day2,46
AC164,C,60,C1,Day2,110.5
AC165,C,71,C2,Day2,61.5
AC166,C,71,C2,Day2,110
AC167,C,60,C3,Day2,54
AC168,C,60,C3,Day2,105.5
AC169,C,71,C4,Day2,56.5
AC170,C,71,C4,Day2,109.5
AC171,C,60,C5,Day2,40.5
AC172,C,60,C5,Day2,103.5
AC173,C,71,C6,Day2,50.5
AC174,C,71,C6,Day2,98
AC175,H,71,H1,Day2,62
AC176,H,71,H1,Day2,125.5
AC177,H,60,H2,Day2,53.5
AC178,H,60,H2,Day2,99.5
AC179,H,71,H3,Day2,55
AC180,H,71,H3,Day2,111
AC181,H,60,H4,Day2,43.5
AC182,H,60,H4,Day2,89.5
AC183,H,71,H5,Day2,53.5
AC184,H,71,H5,Day2,104.5
AC185,H,60,H6,Day2,45
AC186,H,60,H6,Day2,78.5